TOWN,BLOCK,ADDRESS,POSTAL_CODE,LATITUDE,LONGITUDE,MAX_FLOOR,SUBZONE,PLANNING_AREA,REGION,DIST_NEAREST_HAWKER_WALK,DIST_NEAREST_MRT_WALK,DIST_NEAREST_PRI_SCH_WALK,DIST_NEAREST_SEC_SCH_WALK,DIST_NEAREST_MALL_WALK
toa payoh,50,lorong 5 toa payoh,310050,1.33699,103.852693,13,boon teck,toa payoh,central region,119.5,963.1,609.2,347.1,1107.6
bukit timah,11,toh yi drive,590011,1.338003,103.772603,11,anak bukit,bukit timah,central region,647.1,645.4,956.2,3161.9,2919.0
woodlands,894B,woodlands drive 50,731894,1.436009,103.789507,11,midview,woodlands,north region,1804.5,1063.4,298.7,1304.6,944.8
punggol,104A,edgefield plains,821104,1.396806,103.905054,17,punggol field,punggol,north-east region,5505.2,1344.0,603.2,910.3,1206.3
sengkang,206B,compassvale lane,542206,1.387438,103.896932,16,sengkang town centre,sengkang,north-east region,4100.7,602.0,654.6,568.0,645.1
choa chu kang,501,choa chu kang street 51,680501,1.389595,103.743248,14,choa chu kang north,choa chu kang,west region,6497.2,1007.8,789.0,302.5,2845.6
ang mo kio,459,ang mo kio avenue 10,560459,1.36702,103.859377,25,chong boon,ang mo kio,north-east region,439.4,694.2,1193.4,1031.9,1431.2
pasir ris,543,pasir ris street 51,510543,1.369054,103.951497,13,pasir ris central,pasir ris,east region,4266.4,711.1,1117.6,823.1,1458.5
jurong west,836,jurong west street 81,640836,1.342631,103.693465,15,yunnan,jurong west,west region,2749.6,798.2,741.4,1056.5,585.2
bishan,244,bishan street 22,570244,1.36041,103.844372,4,marymount,bishan,central region,890.1,861.3,1264.0,646.0,1413.0
choa chu kang,7,teck whye avenue,680007,1.381474,103.754522,25,teck whye,choa chu kang,west region,5451.3,1128.9,530.2,346.7,962.9
choa chu kang,419,choa chu kang avenue 4,680419,1.381926,103.74156,14,peng siang,choa chu kang,west region,5963.6,724.4,1064.3,868.3,2754.1
bukit timah,5,farrer road,260005,1.31656,103.807288,20,tyersall,tanglin,central region,652.9,370.6,1404.9,1145.3,2404.3
hougang,355,hougang avenue 7,530355,1.371876,103.898239,4,kangkar,hougang,north-east region,2196.3,858.6,353.2,528.6,775.8
punggol,265C,punggol way,823265,1.404997,103.898519,17,matilda,punggol,north-east region,6463.6,606.3,239.4,787.1,671.3
tampines,268,tampines street 21,520268,1.35139,103.947898,11,tampines east,tampines,east region,1405.4,994.2,360.1,531.9,575.8
jurong west,554,jurong west street 42,640554,1.353235,103.717866,12,hong kah,jurong west,west region,1015.5,1664.6,1170.6,497.6,2872.1
clementi,608,clementi west street 1,120608,1.304341,103.76653,12,clementi woods,clementi,west region,326.1,1357.7,1746.5,521.3,87.5
tampines,467,tampines street 44,520467,1.359969,103.954666,12,tampines east,tampines,east region,2814.0,691.2,936.4,492.1,1240.4
yishun,272,yishun street 22,760272,1.438098,103.839642,12,northland,yishun,north region,1840.0,1406.1,209.2,360.3,1588.4
kallang/whampoa,38,jalan bahagia,320038,1.326906,103.856487,2,balestier,novena,central region,687.2,1466.5,1001.9,1048.8,1981.9
sembawang,337,sembawang crescent,750337,1.446151,103.815652,16,sembawang central,sembawang,north region,2813.8,1039.8,775.0,282.9,994.1
sembawang,121D,canberra street,754121,1.447038,103.833923,15,sembawang east,sembawang,north region,2579.1,928.0,1829.4,1892.3,892.2
tampines,875,tampines street 84,520875,1.352685,103.932007,12,tampines west,tampines,east region,2671.1,1358.7,846.1,472.0,1179.9
ang mo kio,538,ang mo kio avenue 5,560538,1.375593,103.853348,10,cheng san,ang mo kio,north-east region,530.4,1180.7,784.9,626.5,1449.8
yishun,156,yishun street 11,760156,1.431888,103.833568,4,yishun west,yishun,north region,727.9,467.6,331.0,850.0,756.0
geylang,21,haig road,430021,1.313159,103.895216,4,geylang east,geylang,central region,333.3,800.4,1117.8,679.6,1450.1
punggol,102B,punggol field,822102,1.399085,103.905471,17,punggol field,punggol,north-east region,5757.2,1098.1,449.7,756.8,1058.5
bishan,256,bishan street 22,570256,1.361318,103.842684,14,marymount,bishan,central region,1206.7,778.6,1576.2,874.8,1568.2
sengkang,440B,fernvale link,792440,1.393291,103.878139,25,fernvale,sengkang,north-east region,4625.4,2361.3,434.8,663.7,495.3
jurong west,861,jurong west street 81,640861,1.349552,103.696708,15,yunnan,jurong west,west region,2423.8,297.9,752.7,1292.7,635.2
bukit panjang,207,petir road,670207,1.373707,103.774851,12,bangkit,bukit panjang,west region,4617.6,1652.5,919.6,1602.7,2255.0
sembawang,326,sembawang crescent,750326,1.444917,103.819119,15,sembawang central,sembawang,north region,2539.9,711.3,384.8,517.5,567.0
hougang,157,hougang street 11,530157,1.353015,103.879703,4,lorong ah soo,hougang,north-east region,1229.1,939.8,1448.8,841.9,1141.8
ang mo kio,337,ang mo kio avenue 1,560337,1.363196,103.851616,13,townsville,ang mo kio,north-east region,570.5,1065.8,538.6,561.4,1071.8
kallang/whampoa,49,jalan bahagia,320049,1.32766,103.856373,2,balestier,novena,central region,749.3,1601.7,1177.4,994.0,1938.0
marine parade,18,marine terrace,440018,1.303209,103.914301,16,marine parade,marine parade,central region,389.9,605.9,506.1,859.4,1529.4
bedok,22,bedok south avenue 1,460022,1.322832,103.932852,14,bedok south,bedok,east region,597.9,498.9,931.3,1702.1,801.7
tampines,717,tampines street 72,520717,1.358812,103.935213,14,tampines west,tampines,east region,2908.8,1562.9,711.1,1007.5,1473.0
woodlands,505,woodlands drive 14,730505,1.432195,103.791156,11,woodlands south,woodlands,north region,1847.1,718.0,262.9,997.5,1176.8
bedok,517,bedok north avenue 2,460517,1.331089,103.929205,12,bedok north,bedok,east region,554.0,1144.9,743.1,1189.2,1395.0
ang mo kio,180,ang mo kio avenue 5,560180,1.376677,103.838361,9,kebun bahru,ang mo kio,north-east region,535.3,700.5,735.2,969.9,1823.7
sembawang,129B,canberra street,752129,1.44487,103.832974,13,sembawang east,sembawang,north region,2252.2,656.1,1880.6,1565.5,620.3
geylang,2C,geylang serai,405002,1.317501,103.898207,19,geylang east,geylang,central region,123.6,817.9,993.7,965.7,1709.3
toa payoh,98,lorong 1 toa payoh,310098,1.339176,103.84838,16,braddell,toa payoh,central region,432.1,598.8,828.7,859.5,1344.4
sengkang,279C,sengkang east avenue,543279,1.385729,103.892595,15,compassvale,sengkang,north-east region,3888.3,465.2,738.3,865.6,939.4
hougang,919,hougang avenue 4,530919,1.375999,103.884121,17,trafalgar,hougang,north-east region,2520.9,1451.1,375.0,656.4,1564.8
toa payoh,71,lorong 4 toa payoh,310071,1.334174,103.852205,4,boon teck,toa payoh,central region,34.3,750.5,916.8,654.7,894.9
hougang,112,hougang avenue 1,530112,1.354422,103.888558,11,lorong ah soo,hougang,north-east region,281.6,1290.6,536.8,512.7,1094.2
jurong west,218B,boon lay avenue,642218,1.350327,103.710889,15,boon lay place,jurong west,west region,947.8,490.6,787.5,970.5,1881.1
serangoon,521,serangoon north avenue 4,550521,1.373356,103.873243,12,serangoon north,serangoon,north-east region,1655.2,589.7,510.3,791.2,2866.5
choa chu kang,459,choa chu kang avenue 4,680459,1.378184,103.735127,12,peng siang,choa chu kang,west region,5468.2,598.5,397.2,735.4,3276.3
bukit batok,298,bukit batok street 22,650298,1.344797,103.747141,25,bukit batok south,bukit batok,west region,1407.4,621.1,1026.4,719.6,794.9
bukit panjang,238,bukit panjang ring road,670238,1.379795,103.770664,12,bangkit,bukit panjang,west region,5638.5,1938.8,785.2,1577.4,1968.4
choa chu kang,133,teck whye lane,680133,1.380744,103.751221,15,teck whye,choa chu kang,west region,5399.5,1194.4,726.4,1005.1,1497.5
jurong west,813,jurong west street 81,640813,1.345984,103.695829,12,yunnan,jurong west,west region,2780.8,639.3,1082.9,1642.5,917.0
hougang,571,hougang street 51,530571,1.378433,103.888023,16,trafalgar,hougang,north-east region,3250.0,1083.2,899.1,949.5,1480.1
woodlands,893A,woodlands drive 50,730893,1.436844,103.790613,11,midview,woodlands,north region,1690.1,949.0,184.2,1190.2,830.4
woodlands,617,woodlands avenue 4,730617,1.433897,103.795731,12,woodlands east,woodlands,north region,2434.1,1257.1,584.7,1075.7,1590.7
sengkang,121D,sengkang east way,544121,1.385795,103.905414,17,rivervale,sengkang,north-east region,4210.5,1660.2,354.2,984.8,1579.6
sengkang,411B,fernvale road,792411,1.390163,103.877056,25,fernvale,sengkang,north-east region,4270.0,2550.6,514.7,653.7,386.8
hougang,944,hougang street 92,530944,1.374288,103.880435,14,trafalgar,hougang,north-east region,2659.8,1463.8,963.2,625.2,1945.9
choa chu kang,344,choa chu kang loop,680344,1.383283,103.74511,14,choa chu kang central,choa chu kang,west region,5736.8,359.3,737.0,1247.5,2221.9
kallang/whampoa,101,ah hood road,320101,1.327397,103.844481,25,balestier,novena,central region,1360.7,1058.3,1019.1,890.1,1038.7
tampines,873,tampines street 84,520873,1.353945,103.932199,12,tampines west,tampines,east region,2786.8,1737.9,1082.8,352.9,1186.0
yishun,152,yishun street 11,760152,1.43104,103.834755,4,yishun west,yishun,north region,883.7,344.5,592.9,713.4,632.9
yishun,151,yishun street 11,760151,1.430806,103.834268,12,yishun west,yishun,north region,812.0,416.2,521.2,785.1,704.5
punggol,234A,sumang lane,821234,1.401664,103.891897,17,matilda,punggol,north-east region,6383.5,1642.1,1096.1,1099.1,1730.7
jurong west,523,jurong west street 52,640523,1.346755,103.716158,25,hong kah,jurong west,west region,603.6,892.4,555.7,1142.5,1563.3
clementi,446,clementi avenue 3,120446,1.312513,103.764928,4,clementi central,clementi,west region,222.0,510.9,521.8,609.0,323.4
queenstown,30,margaret drive,141030,1.298726,103.803962,47,margaret drive,queenstown,central region,915.8,649.6,643.7,338.7,1686.1
pasir ris,108,pasir ris street 12,510108,1.367479,103.957018,13,pasir ris drive,pasir ris,east region,4136.0,1085.8,622.6,164.3,1024.3
jurong west,692,jurong west central 1,640692,1.342272,103.706612,12,jurong west central,jurong west,west region,1116.7,575.0,1059.7,517.3,486.2
sembawang,359,admiralty drive,750359,1.449708,103.815865,16,sembawang central,sembawang,north region,3219.0,685.8,787.8,692.7,641.5
punggol,624C,punggol central,823624,1.400491,103.911983,18,waterway east,punggol,north-east region,6441.0,1046.2,555.5,496.8,392.0
woodlands,523,woodlands drive 14,730523,1.433235,103.793988,12,woodlands south,woodlands,north region,2011.1,851.9,553.0,992.3,1185.2
jurong east,327,jurong east street 31,600327,1.349123,103.728986,15,yuhua west,jurong east,west region,614.8,1010.2,839.1,1262.9,2577.2
bukit batok,172,bukit batok west avenue 8,650172,1.345669,103.74048,25,bukit batok west,bukit batok,west region,674.8,59.6,604.3,335.3,1236.6
tampines,136,simei street 1,520136,1.347936,103.95634,11,simei,tampines,east region,1874.1,854.8,1298.9,1426.3,1061.4
hougang,356,hougang avenue 7,530356,1.372593,103.898813,4,kangkar,hougang,north-east region,2276.5,938.8,382.0,608.8,856.0
woodlands,507,woodlands drive 14,730507,1.431769,103.790935,11,woodlands south,woodlands,north region,1876.7,747.6,133.2,1027.1,1093.4
kallang/whampoa,103,ah hood road,320103,1.327963,103.844827,25,balestier,novena,central region,1451.6,1065.1,1006.3,903.9,1066.7
choa chu kang,11,teck whye lane,680011,1.379762,103.754969,13,teck whye,choa chu kang,west region,5401.0,1341.5,866.6,683.1,1175.5
serangoon,334,serangoon avenue 3,550334,1.350241,103.870832,12,serangoon central,serangoon,north-east region,1760.6,539.3,429.6,451.3,216.1
pasir ris,227,pasir ris street 21,510227,1.371669,103.961764,13,pasir ris drive,pasir ris,east region,4721.6,1337.3,400.0,515.5,1198.9
bukit batok,533,bukit batok street 51,650533,1.355879,103.749799,12,guilin,bukit batok,west region,2629.4,512.2,487.0,669.7,1102.5
pasir ris,530D,pasir ris drive 1,514530,1.371875,103.950581,14,pasir ris central,pasir ris,east region,4115.2,217.2,815.1,911.7,914.8
bishan,234,bishan street 22,570234,1.358371,103.846091,13,marymount,bishan,central region,999.5,1075.7,1140.6,437.2,1200.0
bukit merah,93B,telok blangah street 31,102093,1.275357,103.807977,30,telok blangah drive,bukit merah,central region,341.2,931.8,807.4,2709.9,1063.8
bukit batok,354,bukit batok street 31,650354,1.361387,103.749729,15,hong kah north,bukit batok,west region,3158.2,500.9,495.4,1082.6,1638.1
jurong west,634,jurong west street 65,640634,1.343094,103.698866,16,jurong west central,jurong west,west region,1986.5,516.6,304.8,618.4,360.9
bukit batok,143,bukit batok street 11,650143,1.350376,103.743909,4,bukit batok west,bukit batok,west region,1471.8,867.9,399.8,501.9,1138.6
pasir ris,446,pasir ris drive 6,510446,1.370306,103.957727,11,pasir ris drive,pasir ris,east region,4466.0,1309.6,337.0,502.5,746.1
sengkang,272D,sengkang central,544272,1.383931,103.893564,15,compassvale,sengkang,north-east region,3655.5,265.8,553.0,967.8,1106.7
jurong east,252,jurong east street 24,600252,1.343026,103.738145,4,yuhua east,jurong east,west region,162.9,739.9,485.1,569.1,1686.0
sengkang,334B,anchorvale crescent,542334,1.398462,103.889969,16,anchorvale,sengkang,north-east region,5649.0,1274.9,616.7,1294.8,1231.8
sembawang,351A,canberra road,751351,1.450388,103.820209,14,sembawang central,sembawang,north region,2662.1,400.6,562.1,1129.2,523.1
sengkang,186B,rivervale drive,542186,1.3928,103.90561,17,rivervale,sengkang,north-east region,5012.3,1525.9,211.0,623.4,1347.8
queenstown,89,dawson road,142089,1.295463,103.811785,43,margaret drive,queenstown,central region,1325.4,846.8,569.8,632.5,1539.9
choa chu kang,634,choa chu kang north 6,680634,1.396609,103.749729,14,yew tee,choa chu kang,west region,7065.0,372.0,301.3,757.5,2519.7
tampines,404,tampines street 41,520404,1.357762,103.944363,4,tampines east,tampines,east region,2133.7,792.2,711.6,1028.2,1032.7
choa chu kang,809B,choa chu kang avenue 1,682809,1.374762,103.744965,15,keat hong,choa chu kang,west region,4451.9,1077.7,834.6,1496.7,2116.4
jurong west,713,jurong west street 71,640713,1.343657,103.696064,12,yunnan,jurong west,west region,2569.2,942.4,729.9,1129.3,403.4
bukit merah,33,lim liak street,160033,1.285119,103.831577,4,tiong bahru,bukit merah,central region,250.0,518.2,937.8,1098.5,681.1
hougang,121,hougang avenue 1,530121,1.353861,103.886937,4,lorong ah soo,hougang,north-east region,492.4,1501.4,747.6,542.5,1305.0
tampines,721,tampines street 71,520721,1.35992,103.936352,15,tampines west,tampines,east region,2819.8,1637.4,642.6,1028.3,1384.0
tampines,606A,tampines street 61,521606,1.362377,103.936587,15,tampines north,tampines,east region,2920.0,1332.9,408.2,1488.2,1623.3
jurong west,646,jurong west street 61,640646,1.339461,103.697111,16,jurong west central,jurong west,west region,2161.5,428.4,275.7,740.7,355.0
queenstown,81,commonwealth close,140081,1.303787,103.800385,16,commonwealth,queenstown,central region,781.6,350.3,735.3,751.5,1417.8
geylang,96,aljunied crescent,380096,1.321656,103.885423,10,aljunied,geylang,central region,342.0,987.2,832.7,819.0,3056.2
bishan,444,sin ming avenue,570444,1.358539,103.832309,25,upper thomson,bishan,central region,1196.5,623.1,324.2,1338.0,891.1
bukit batok,139,bukit batok west avenue 6,650139,1.351103,103.74417,4,bukit batok west,bukit batok,west region,1799.7,1022.3,749.0,818.4,860.7
sembawang,107B,canberra street,752107,1.449165,103.833497,15,sembawang east,sembawang,north region,2641.6,990.5,1914.8,1954.9,954.7
bukit timah,14,toh yi drive,590014,1.339087,103.772569,13,anak bukit,bukit timah,central region,588.5,586.8,897.6,3091.8,2860.5
jurong west,611,jurong west street 65,640611,1.338906,103.700751,15,jurong west central,jurong west,west region,1926.8,540.7,395.2,528.2,661.6
jurong west,719,jurong west avenue 5,640719,1.344537,103.696986,4,yunnan,jurong west,west region,2514.1,541.3,624.3,1198.5,600.2
ang mo kio,510,ang mo kio avenue 8,560510,1.373401,103.849073,9,cheng san,ang mo kio,north-east region,609.1,512.3,692.7,858.8,781.4
bedok,3,bedok south avenue 1,460003,1.321915,103.933181,14,bedok south,bedok,east region,720.6,657.9,1005.6,1776.5,960.6
bukit panjang,257,bangkit road,670257,1.378509,103.773212,16,bangkit,bukit panjang,west region,5551.3,1884.5,681.6,1523.1,1914.1
serangoon,422,serangoon central,550422,1.34885,103.876001,13,upper paya lebar,serangoon,north-east region,2201.7,432.0,1062.3,674.7,676.4
jurong west,465,jurong west street 41,640465,1.350126,103.72321,12,hong kah,jurong west,west region,790.6,1016.7,621.7,520.0,2692.9
pasir ris,214,pasir ris street 21,510214,1.367715,103.9613,12,pasir ris drive,pasir ris,east region,4543.1,1158.7,818.7,403.5,1113.6
bedok,662,jalan damai,410662,1.334655,103.908222,14,kaki bukit,bedok,east region,1305.1,80.8,665.5,1656.3,3564.1
tampines,446,tampines street 42,520446,1.357945,103.950999,12,tampines east,tampines,east region,2622.8,808.3,575.2,794.0,1188.0
queenstown,1,ghim moh road,270001,1.31288,103.786855,15,ghim moh,queenstown,central region,402.8,1051.3,741.3,1737.7,956.5
serangoon,517,serangoon north avenue 4,550517,1.371323,103.874086,12,serangoon north,serangoon,north-east region,2119.0,1053.5,376.6,1018.5,2914.9
bukit merah,91A,telok blangah street 31,101091,1.276662,103.807128,30,telok blangah drive,bukit merah,central region,393.7,984.4,545.3,2534.6,1112.6
sembawang,425,canberra road,750425,1.454379,103.818678,14,sembawang north,sembawang,north region,3150.0,901.7,531.7,705.6,948.6
jurong west,939,jurong west street 91,640939,1.342952,103.689029,12,yunnan,jurong west,west region,3595.3,1562.8,163.1,649.9,1430.9
pasir ris,502,pasir ris street 52,510502,1.375399,103.946232,14,pasir ris central,pasir ris,east region,4208.0,620.3,202.4,1416.4,1201.8
bishan,288,bishan street 24,570288,1.356924,103.845157,24,marymount,bishan,central region,1114.0,976.0,950.3,198.7,1070.5
bukit batok,289G,bukit batok street 25,656289,1.345043,103.758784,15,bukit batok south,bukit batok,west region,2557.1,1409.8,359.5,914.1,1553.1
tampines,148,tampines avenue 5,521148,1.350613,103.94225,11,tampines east,tampines,east region,1206.8,738.9,137.3,485.3,451.4
serangoon,518,serangoon north avenue 4,550518,1.371641,103.874103,12,serangoon north,serangoon,north-east region,2120.2,1054.7,377.8,1019.7,2916.1
pasir ris,703,pasir ris drive 10,510703,1.380392,103.937163,15,pasir ris west,pasir ris,east region,5565.4,658.0,896.4,2831.3,2446.1
woodlands,653,woodlands ring road,730653,1.438081,103.799032,12,woodlands east,woodlands,north region,2961.7,517.6,739.5,827.5,2102.0
tampines,703,tampines street 71,520703,1.356878,103.937739,14,tampines west,tampines,east region,2554.7,1372.3,436.0,773.2,1118.8
